,아이디,주소,기업성장단계,신규인력_채용의사,구분,신규채용_예상인력,신규채용_박사,신규채용_석사,신규채용_대졸,신규채용_전문대졸,신규채용_고졸이하,지역,업종
517,6717,경기 안양시 동안구,성숙기,있음,법인,5,0,0,3,2,0,서울/인천/경기,소프트웨어개발/IT기반서비스
518,6719,경기 과천시,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
519,6733,대구 달서구,성숙기,없음,개인,0,0,0,0,0,0,대구/경북,컴퓨터/반도체/전자부품
520,6746,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
521,6752,부산 부산진구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,정보통신/방송서비스
522,6760,경기 성남시 분당구,고도성장기,있음,법인,4,0,0,2,2,0,서울/인천/경기,정보통신/방송서비스
523,6764,서울 금천구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
524,6766,서울 강남구,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
525,6768,인천 계양구,성숙기,있음,법인,3,0,0,3,0,0,서울/인천/경기,에너지/화학/정밀
526,6776,서울 용산구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
527,6777,부산 해운대구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,소프트웨어개발/IT기반서비스
528,6785,경기 성남시 중원구,고도성장기,있음,법인,2,0,0,1,1,0,서울/인천/경기,컴퓨터/반도체/전자부품
529,6793,경기 수원시 영통구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
530,6797,전남 광양시,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
531,6799,경기 남양주시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
532,6818,서울 송파구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
533,6819,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
534,6849,충남 아산시,초기성장기,있음,법인,2,0,0,1,1,0,대전/세종/충청/강원,기타
535,6865,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
536,6873,경기 용인시 기흥구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
537,6883,경기 성남시 분당구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
538,6886,부산 강서구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
539,6918,서울 영등포구,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,에너지/화학/정밀
540,6921,충북 진천군,초기성장기,있음,개인,2,0,1,1,0,0,대전/세종/충청/강원,에너지/화학/정밀
541,6945,서울 종로구,초기성장기,있음,법인,10,0,2,5,3,0,서울/인천/경기,의료/제약
542,6956,경기 남양주시,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
543,6975,경기 화성시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
544,6984,경남 함안군,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
545,7002,경기 김포시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
546,7010,경기 하남시,고도성장기,있음,법인,2,0,0,1,1,0,서울/인천/경기,기타
